post_id,platform,topic,text_length,likes,shares,comments,hashtags,mentions,sentiment,engagement_rate,verified_account,sample_text
POST00449,Facebook,Education,234,28,68,6,0,1,Neutral,0.6069712115945316,False,This is normal average okay content about technology
POST00450,LinkedIn,Business,161,210,1,8,0,1,Neutral,0.15984888440698564,False,This is normal average regular content about business
POST00451,Instagram,Sports,30,223,3,1,6,1,Negative,0.4653995962100692,False,This is worst terrible disappointing content about business
POST00452,TikTok,Sports,86,161,8,1,3,0,Neutral,0.3038501506940151,False,This is standard standard fine content about health
POST00453,Facebook,Health,71,8,21,20,0,0,Negative,0.11578748804989347,False,This is disappointing terrible horrible content about technology
POST00454,Instagram,Business,228,79,18,7,0,4,Neutral,0.18522597147202702,False,This is typical standard standard content about education
POST00455,Instagram,Sports,263,67,37,13,0,4,Negative,0.16093543929257836,False,This is hate awful disappointing content about education
POST00456,TikTok,Business,161,3,27,2,6,1,Negative,0.7512433804542628,False,This is terrible horrible horrible content about sports
POST00457,LinkedIn,Politics,51,75,2,28,2,3,Neutral,0.8147874581347117,False,This is typical typical typical content about entertainment
POST00458,Instagram,Health,248,285,21,10,9,0,Positive,0.3892212905030912,False,This is great wonderful fantastic content about health
POST00459,Facebook,Politics,20,34,15,6,1,2,Neutral,0.3564020728815064,True,This is typical fine standard content about health
POST00460,Twitter,Business,68,63,13,2,1,2,Neutral,0.7061692103363993,False,This is average average standard content about education
POST00461,TikTok,Business,226,124,3,13,9,2,Positive,0.18436762935395623,False,This is love amazing great content about entertainment
POST00462,Instagram,Education,111,31,2,2,2,3,Neutral,0.06470258332329992,False,This is standard normal average content about health
POST00463,Twitter,Business,128,383,16,1,1,3,Neutral,0.45726950845276126,True,This is average fine typical content about education
POST00464,LinkedIn,Business,236,263,23,17,6,3,Negative,0.9872095308517612,False,This is hate worst hate content about technology
POST00465,Twitter,Sports,126,84,3,1,0,3,Positive,0.17248802447074896,False,This is amazing great best content about technology
POST00466,LinkedIn,Business,261,147,24,18,9,1,Positive,0.8316089888402441,False,This is amazing love wonderful content about politics
POST00467,TikTok,Politics,188,183,7,0,4,4,Positive,0.33100809418800836,False,This is fantastic amazing excellent content about entertainment
POST00468,Facebook,Entertainment,55,474,17,6,1,0,Positive,0.5574646056927018,False,This is fantastic best amazing content about health
POST00469,TikTok,Health,132,4,5,13,7,1,Neutral,0.8264226006053844,False,This is fine standard fine content about education
POST00470,Instagram,Entertainment,227,6,15,2,5,3,Neutral,0.4348734002350172,False,This is okay normal fine content about health
POST00471,Instagram,Politics,24,83,103,22,1,4,Neutral,0.8239906488106745,False,This is average normal fine content about technology
POST00472,TikTok,Health,183,6,16,3,7,4,Neutral,0.2087854453259479,False,This is average fine regular content about health
POST00473,Facebook,Health,146,141,5,26,7,1,Positive,0.69862448170169,False,This is great wonderful fantastic content about education
POST00474,TikTok,Politics,58,184,4,6,1,3,Neutral,0.5520754404771638,False,This is fine fine normal content about education
POST00475,Facebook,Sports,266,136,15,12,9,3,Positive,0.7898051322998823,False,This is love amazing wonderful content about politics
POST00476,LinkedIn,Sports,23,34,9,3,9,1,Neutral,0.09192591250058346,True,This is fine regular standard content about business
POST00477,Facebook,Politics,175,310,15,3,2,2,Neutral,0.6186420543169874,False,This is standard standard standard content about business
POST00478,TikTok,Business,107,17,17,21,7,0,Neutral,0.33537175916512774,False,This is okay average typical content about education
POST00479,Twitter,Business,56,93,17,3,8,4,Positive,0.47656031481123706,False,This is fantastic amazing excellent content about sports
POST00480,TikTok,Technology,168,80,19,0,6,1,Positive,0.036782695432128976,True,This is fantastic fantastic great content about education
POST00481,Instagram,Health,178,35,2,2,0,3,Neutral,0.8057605069089516,False,This is typical standard typical content about business
POST00482,Facebook,Technology,272,77,18,9,9,2,Negative,0.6525195774673626,False,This is hate hate bad content about education
POST00483,TikTok,Technology,230,16,36,5,1,2,Positive,0.45279307998194496,False,This is fantastic great fantastic content about entertainment
POST00484,TikTok,Education,31,142,6,31,8,0,Neutral,0.7338660389963696,False,This is okay okay regular content about politics
POST00485,Instagram,Technology,229,23,23,9,7,1,Neutral,0.8129594689056524,False,This is normal okay regular content about technology
POST00486,LinkedIn,Technology,246,26,40,10,2,2,Neutral,0.3146076263731712,False,This is regular fine standard content about entertainment
POST00487,Facebook,Business,140,121,12,23,8,1,Neutral,0.6563739639394738,False,This is average regular normal content about entertainment
POST00488,Instagram,Health,77,166,0,16,7,2,Negative,0.5529239809246523,False,This is horrible hate bad content about education
POST00489,TikTok,Health,183,287,33,12,9,4,Negative,0.29148705824566823,False,This is terrible hate worst content about sports
POST00490,Instagram,Business,150,85,20,6,5,4,Negative,0.692176217188325,False,This is bad horrible terrible content about education
POST00491,TikTok,Technology,191,77,14,14,8,2,Positive,0.6012938010790553,False,This is amazing excellent fantastic content about education
POST00492,LinkedIn,Entertainment,183,55,19,3,4,2,Positive,0.3892648486242628,False,This is love love fantastic content about technology
POST00493,LinkedIn,Politics,181,48,1,7,4,0,Negative,0.4578054098894174,False,This is worst hate worst content about technology
POST00494,LinkedIn,Politics,52,87,10,2,5,1,Positive,0.4341663162413154,False,This is wonderful amazing amazing content about health
POST00495,Twitter,Technology,148,36,34,8,7,2,Positive,0.21006631037112922,False,This is great amazing best content about health
POST00496,Facebook,Politics,159,286,16,8,1,4,Positive,0.6965247339660456,False,This is wonderful wonderful excellent content about entertainment
POST00497,Instagram,Health,201,104,5,2,1,3,Neutral,0.701088618968754,False,This is standard standard okay content about technology
POST00498,LinkedIn,Entertainment,229,154,10,4,9,0,Positive,0.591685754812806,False,This is excellent fantastic amazing content about business
POST00499,TikTok,Education,254,25,4,1,0,0,Negative,0.8611343366027392,False,This is terrible bad bad content about sports
POST00500,Instagram,Politics,79,106,44,16,8,3,Neutral,0.1913399091803104,False,This is typical fine standard content about entertainment
POST00501,Facebook,Business,157,26,3,7,3,0,Positive,0.8536799905420765,False,This is wonderful fantastic great content about entertainment
POST00502,Facebook,Sports,261,54,102,0,0,0,Negative,0.9571801142125489,True,This is horrible hate worst content about education
POST00503,Twitter,Sports,246,55,68,1,3,3,Negative,0.05421786643489823,False,This is horrible bad hate content about education
POST00504,TikTok,Technology,114,276,38,1,1,1,Positive,0.2031715820169554,False,This is fantastic amazing fantastic content about education
POST00505,Facebook,Politics,35,139,33,15,4,0,Negative,0.3189409994513057,False,This is awful terrible terrible content about health
POST00506,Twitter,Entertainment,111,72,23,7,9,0,Neutral,0.1710504741895309,False,This is average regular typical content about sports
POST00507,LinkedIn,Health,185,57,6,5,2,4,Positive,0.19578433089319447,False,This is wonderful love great content about health
POST00508,TikTok,Health,227,250,87,8,4,0,Neutral,0.026788886724127936,False,This is regular standard average content about technology
POST00509,Instagram,Entertainment,48,8,1,4,7,0,Positive,0.8797747324325697,False,This is love amazing fantastic content about business
POST00510,Twitter,Health,272,155,42,2,7,3,Neutral,0.9386830336952791,False,This is regular average typical content about sports
POST00511,LinkedIn,Health,132,11,5,4,6,2,Neutral,0.5688298648884631,False,This is normal average standard content about entertainment
POST00512,LinkedIn,Business,168,58,7,8,3,4,Neutral,0.5560586486612132,True,This is normal okay fine content about entertainment
POST00513,Twitter,Politics,176,1,74,14,8,3,Negative,0.028303305016541325,False,This is worst disappointing terrible content about entertainment
POST00514,Twitter,Health,269,26,12,12,1,2,Positive,0.24312970083394247,False,This is love fantastic wonderful content about health
POST00515,Twitter,Education,244,176,2,0,0,1,Negative,0.14997821003194645,False,This is hate bad worst content about technology
POST00516,TikTok,Education,237,68,85,9,3,1,Positive,0.3192884931811699,False,This is fantastic fantastic fantastic content about business
POST00517,TikTok,Health,202,85,22,17,7,0,Positive,0.2980726033931196,False,This is love wonderful fantastic content about entertainment
POST00518,LinkedIn,Education,98,15,6,19,9,1,Negative,0.007896447087152092,True,This is bad horrible horrible content about sports
POST00519,Instagram,Health,250,9,14,1,5,3,Negative,0.028905273991818303,False,This is horrible hate terrible content about politics
POST00520,LinkedIn,Politics,276,100,7,19,2,4,Neutral,0.9033583483963381,False,This is average fine okay content about politics
POST00521,LinkedIn,Entertainment,87,1,2,30,2,0,Neutral,0.625174653613825,False,This is typical typical regular content about education
POST00522,Instagram,Technology,97,280,67,19,8,2,Neutral,0.06692089294870263,False,This is average typical typical content about entertainment
POST00523,LinkedIn,Politics,73,135,10,1,6,0,Positive,0.5547425020043107,False,This is amazing excellent amazing content about entertainment
POST00524,Facebook,Business,218,347,7,4,5,3,Neutral,0.6662049856764954,False,This is typical regular okay content about health
POST00525,Twitter,Technology,195,145,14,15,4,0,Neutral,0.06769069267110661,True,This is average fine regular content about technology
POST00526,LinkedIn,Politics,94,23,21,2,8,4,Neutral,0.6968873467723858,False,This is typical average normal content about politics
POST00527,Twitter,Sports,27,81,17,23,3,0,Neutral,0.46445123627316354,False,This is standard normal okay content about business
POST00528,Twitter,Education,34,38,12,0,8,4,Neutral,0.7889559106880873,False,This is standard average okay content about education
POST00529,LinkedIn,Technology,101,42,7,7,0,0,Neutral,0.3696250703163264,False,This is standard average average content about sports
POST00530,Instagram,Education,191,154,2,26,6,1,Neutral,0.5839814956640992,False,This is standard normal typical content about politics
POST00531,Facebook,Health,220,279,8,1,2,2,Positive,0.8720956957635999,False,This is great love fantastic content about technology
POST00532,Instagram,Entertainment,279,11,52,26,2,1,Negative,0.3802280360383625,False,This is worst worst terrible content about sports
POST00533,TikTok,Business,54,26,30,8,7,4,Negative,0.07305246429383128,False,This is disappointing awful bad content about sports
POST00534,Facebook,Health,158,141,1,71,9,1,Neutral,0.8463149725664493,False,This is regular normal regular content about politics
POST00535,LinkedIn,Politics,85,29,1,43,3,1,Positive,0.8471400739715401,True,This is fantastic wonderful amazing content about entertainment
POST00536,Twitter,Health,200,24,64,2,0,0,Neutral,0.07134541375645032,False,This is standard typical standard content about politics
POST00537,LinkedIn,Business,93,103,36,4,5,2,Positive,0.4553844423332206,False,This is amazing love amazing content about technology
POST00538,LinkedIn,Sports,212,124,66,27,2,3,Positive,0.5657586974954517,False,This is fantastic excellent excellent content about education
POST00539,Instagram,Business,39,181,32,10,4,3,Negative,0.4749039442366749,False,This is hate bad worst content about entertainment
POST00540,Instagram,Health,160,165,28,4,0,2,Positive,0.293579931778415,False,This is love best fantastic content about politics
POST00541,Facebook,Health,275,160,76,2,4,1,Neutral,0.7512604346919038,False,This is regular standard fine content about technology
POST00542,Instagram,Health,97,55,9,5,9,0,Positive,0.8414593515162776,False,This is wonderful excellent wonderful content about entertainment
POST00543,Twitter,Sports,182,55,11,0,9,3,Neutral,0.3186407822944204,True,This is regular normal typical content about health
POST00544,Facebook,Education,252,110,4,6,0,1,Negative,0.7725713818122142,False,This is bad hate worst content about entertainment
POST00545,LinkedIn,Entertainment,72,67,5,2,5,3,Negative,0.8279541510221892,False,This is hate horrible horrible content about business
POST00546,Facebook,Entertainment,194,68,2,5,2,2,Negative,0.37502468706116776,False,This is bad horrible awful content about technology
POST00547,LinkedIn,Politics,31,70,45,8,6,0,Positive,0.07735860483958779,True,This is excellent love best content about entertainment
POST00548,Facebook,Sports,246,17,4,2,4,4,Negative,0.9963434693124233,True,This is horrible horrible hate content about business
POST00549,Twitter,Entertainment,65,485,3,9,5,0,Neutral,0.7434864907130412,False,This is typical typical fine content about technology
POST00550,TikTok,Politics,260,18,14,19,4,1,Neutral,0.7126748734494281,False,This is fine average regular content about education
POST00551,Instagram,Education,68,28,62,7,7,2,Positive,0.4189347147415098,False,This is amazing excellent love content about sports
POST00552,Twitter,Politics,195,121,5,1,3,1,Neutral,0.2800908282901817,False,This is fine okay typical content about entertainment
POST00553,LinkedIn,Politics,211,155,5,12,2,0,Negative,0.8600384428489561,False,This is terrible disappointing terrible content about entertainment
POST00554,TikTok,Health,234,34,34,9,5,3,Neutral,0.4017037153531974,False,This is standard normal fine content about technology
POST00555,Instagram,Education,252,116,14,14,9,2,Positive,0.4199156780109353,False,This is great wonderful amazing content about business
POST00556,LinkedIn,Business,198,3,26,0,9,2,Neutral,0.13218618054698095,False,This is okay regular normal content about health
POST00557,Twitter,Politics,237,70,12,9,2,4,Negative,0.4600565817851786,False,This is horrible terrible awful content about technology
POST00558,Twitter,Business,152,83,24,1,4,3,Positive,0.6263961299823637,True,This is love amazing fantastic content about sports
POST00559,Twitter,Health,82,47,36,8,5,2,Neutral,0.4239682247641252,False,This is typical normal regular content about health
POST00560,Facebook,Politics,98,33,10,3,9,0,Negative,0.12964204768371768,False,This is disappointing disappointing horrible content about entertainment
POST00561,Twitter,Business,152,51,25,11,6,1,Neutral,0.7953275724135801,False,This is standard typical standard content about health
POST00562,Instagram,Technology,70,34,12,9,3,2,Negative,0.41096539790214925,False,This is bad worst awful content about sports
POST00563,TikTok,Health,228,30,58,1,6,2,Neutral,0.7510403702907309,False,This is typical fine normal content about business
POST00564,TikTok,Politics,192,250,11,6,7,3,Negative,0.11610413874595316,False,This is bad bad hate content about education
POST00565,LinkedIn,Sports,140,46,7,10,7,0,Neutral,0.7511537560476305,False,This is regular typical standard content about sports
POST00566,LinkedIn,Politics,91,62,5,4,2,3,Neutral,0.11069845327124328,False,This is typical okay okay content about education
POST00567,Facebook,Entertainment,55,199,11,7,7,3,Positive,0.5257826460220181,False,This is amazing best wonderful content about education
POST00568,Twitter,Entertainment,261,77,11,1,3,3,Neutral,0.2558751255442582,False,This is standard normal regular content about education
POST00569,Instagram,Business,74,10,48,16,1,4,Positive,0.8645673101908136,False,This is wonderful wonderful fantastic content about health
POST00570,Facebook,Technology,249,182,19,9,4,1,Positive,0.7828893774204717,False,This is great wonderful excellent content about entertainment
POST00571,Facebook,Education,119,14,34,13,3,2,Positive,0.7072243220330623,False,This is amazing excellent amazing content about health
POST00572,TikTok,Business,98,166,0,5,1,3,Neutral,0.41938817240745974,False,This is standard standard regular content about entertainment
POST00573,Twitter,Politics,115,202,10,31,9,2,Neutral,0.21773138851179386,False,This is regular regular standard content about technology
POST00574,TikTok,Health,97,231,5,3,7,3,Negative,0.051706672855898694,False,This is terrible horrible bad content about entertainment
POST00575,Twitter,Technology,188,53,17,5,5,3,Neutral,0.9704507757801242,False,This is typical fine typical content about education
POST00576,LinkedIn,Politics,91,133,82,0,6,1,Positive,0.7248777593207183,False,This is best wonderful amazing content about health
POST00577,Facebook,Politics,271,55,13,0,0,3,Positive,0.04326675428194038,False,This is love love great content about health
POST00578,TikTok,Education,106,4,42,1,6,0,Positive,0.8063000817863761,True,This is amazing love excellent content about business
POST00579,Instagram,Politics,30,40,3,8,6,1,Positive,0.2976806373049371,False,This is amazing great fantastic content about health
POST00580,Twitter,Business,239,9,3,2,9,0,Negative,0.4281797493639503,False,This is horrible hate hate content about politics
POST00581,TikTok,Sports,48,151,5,10,0,0,Neutral,0.48422820465489913,False,This is fine normal typical content about technology
POST00582,LinkedIn,Education,262,72,49,5,0,2,Neutral,0.03262390120249814,False,This is fine normal normal content about technology
POST00583,Facebook,Education,176,224,1,16,5,4,Neutral,0.9431138675926845,True,This is normal fine regular content about sports
POST00584,TikTok,Politics,263,58,5,0,7,0,Negative,0.2628440923309372,False,This is horrible worst disappointing content about politics
POST00585,LinkedIn,Education,237,7,49,0,5,1,Neutral,0.6595612733811558,False,This is normal average okay content about technology
POST00586,Facebook,Health,261,175,35,15,3,0,Positive,0.9842020844152385,False,This is amazing fantastic best content about technology
POST00587,Twitter,Education,122,87,4,12,4,0,Positive,0.7628885420569397,False,This is fantastic amazing great content about entertainment
POST00588,Facebook,Health,66,63,9,1,4,2,Positive,0.639103205815325,True,This is fantastic great amazing content about business
POST00589,Facebook,Health,70,146,76,9,7,3,Positive,0.2066381065306373,False,This is love great amazing content about sports
POST00590,Twitter,Education,218,150,7,11,3,4,Positive,0.9598789077783635,False,This is wonderful best best content about health
POST00591,TikTok,Health,102,263,0,17,3,3,Positive,0.42135149738745115,False,This is amazing excellent fantastic content about entertainment
POST00592,Twitter,Education,260,67,21,44,5,2,Neutral,0.4039565678806223,False,This is regular regular average content about business
POST00593,Facebook,Entertainment,180,3,18,3,1,3,Positive,0.048166075419902366,False,This is amazing best fantastic content about education
POST00594,TikTok,Sports,245,92,4,1,2,2,Neutral,0.043921543950304676,True,This is average typical fine content about health
POST00595,Twitter,Entertainment,204,48,28,2,2,1,Positive,0.6955833024465797,False,This is great fantastic love content about politics
POST00596,Twitter,Politics,233,202,39,3,7,3,Positive,0.4418007771000326,False,This is great great love content about technology
POST00597,Twitter,Entertainment,145,66,38,17,8,3,Neutral,0.25379975672457766,False,This is fine typical fine content about technology
POST00598,TikTok,Politics,202,48,51,8,3,2,Negative,0.5678155268208069,False,This is bad disappointing worst content about health
POST00599,Twitter,Health,63,75,8,1,1,2,Neutral,0.9730511444601363,False,This is average average typical content about education
POST00600,Twitter,Education,135,33,38,42,8,2,Negative,0.20518596849657622,False,This is awful awful disappointing content about health
POST00601,TikTok,Entertainment,125,167,20,13,9,0,Positive,0.08974078779767714,False,This is love wonderful wonderful content about politics
POST00602,TikTok,Politics,219,44,20,11,9,4,Positive,0.95870695106893,False,This is excellent best best content about technology
POST00603,TikTok,Education,112,42,19,9,9,3,Neutral,0.2813990661441542,False,This is okay normal typical content about business
POST00604,Facebook,Health,177,191,18,3,1,3,Negative,0.7306005432296019,False,This is horrible terrible disappointing content about technology
POST00605,Facebook,Sports,78,5,7,15,8,3,Positive,0.9839532689489173,False,This is best amazing best content about technology
POST00606,Instagram,Sports,236,67,5,8,5,4,Positive,0.3732647460498041,False,This is amazing fantastic best content about sports
POST00607,Instagram,Sports,54,30,1,17,2,2,Negative,0.050333362117724656,False,This is disappointing horrible disappointing content about health
POST00608,LinkedIn,Sports,236,39,9,7,0,3,Neutral,0.7831419053804117,False,This is regular okay regular content about education
POST00609,Twitter,Health,244,67,55,3,9,0,Negative,0.6078350386101253,False,This is disappointing awful bad content about technology
POST00610,Instagram,Technology,218,46,14,11,8,4,Positive,0.4040012247701986,False,This is great great best content about entertainment
POST00611,TikTok,Sports,131,28,73,16,2,0,Negative,0.7073391349993735,True,This is horrible horrible hate content about technology
POST00612,Instagram,Politics,223,37,13,1,6,4,Neutral,0.32531020956793844,False,This is regular okay average content about business
POST00613,Twitter,Politics,32,142,17,15,7,3,Neutral,0.032748010595754495,False,This is okay typical regular content about business
POST00614,TikTok,Business,126,25,32,1,0,4,Positive,0.7334341104716741,False,This is amazing best love content about sports
POST00615,Facebook,Technology,38,117,5,4,1,1,Negative,0.3380075379619205,False,This is awful hate awful content about sports
POST00616,Instagram,Education,268,129,1,2,9,2,Positive,0.5822232523702491,False,This is best fantastic best content about business
POST00617,Instagram,Business,265,152,11,25,5,1,Positive,0.33614938551034923,False,This is best amazing fantastic content about politics
POST00618,TikTok,Sports,112,106,48,12,4,3,Negative,0.30339098073143966,False,This is worst terrible bad content about technology
POST00619,LinkedIn,Education,27,6,3,1,5,3,Neutral,0.19072446760965567,True,This is normal typical normal content about education
POST00620,Instagram,Technology,275,249,2,6,1,3,Positive,0.08228873369076162,False,This is great great great content about politics
POST00621,Twitter,Education,109,244,7,6,5,1,Negative,0.08996352374769545,False,This is terrible disappointing bad content about business
POST00622,Twitter,Politics,223,20,0,20,2,4,Negative,0.6169173490920024,False,This is terrible awful horrible content about education
POST00623,LinkedIn,Entertainment,73,224,54,0,4,1,Negative,0.42077960449913,False,This is horrible worst bad content about education
POST00624,LinkedIn,Entertainment,232,656,11,29,4,2,Neutral,0.20298830839373017,False,This is okay okay fine content about entertainment
POST00625,Twitter,Technology,82,35,47,2,1,1,Neutral,0.5998803951488999,False,This is normal typical typical content about education
POST00626,TikTok,Entertainment,268,412,42,10,2,1,Neutral,0.7345092191521211,False,This is typical typical regular content about politics
POST00627,Facebook,Sports,156,56,45,13,6,2,Positive,0.6943704003198051,False,This is great amazing love content about health
POST00628,TikTok,Technology,106,57,0,3,1,1,Negative,0.23934297050485243,False,This is worst hate terrible content about education
POST00629,Twitter,Business,191,44,8,0,6,1,Neutral,0.030263233334375195,False,This is standard standard okay content about politics
POST00630,Instagram,Business,174,129,15,0,1,3,Neutral,0.8142316354630836,False,This is normal okay okay content about health
POST00631,TikTok,Education,127,41,13,3,7,1,Positive,0.143915072129997,False,This is great amazing wonderful content about sports
POST00632,Instagram,Health,174,191,8,11,9,4,Positive,0.01582710740642057,False,This is great amazing best content about entertainment
POST00633,LinkedIn,Politics,131,46,31,15,8,4,Neutral,0.7846739356314297,False,This is standard regular fine content about entertainment
POST00634,Twitter,Business,100,45,1,1,6,4,Neutral,0.379090248257672,False,This is okay average fine content about entertainment
POST00635,LinkedIn,Entertainment,228,8,6,0,6,3,Positive,0.7786964111070673,False,This is great wonderful love content about technology
POST00636,Twitter,Politics,20,88,67,5,4,1,Positive,0.2478782053483558,False,This is love amazing amazing content about politics
POST00637,Facebook,Education,237,215,45,3,0,3,Negative,0.9161887025173753,False,This is hate awful awful content about business
POST00638,Twitter,Entertainment,224,59,5,0,1,0,Positive,0.7893238299018117,False,This is fantastic amazing best content about entertainment
POST00639,Instagram,Technology,112,212,22,2,0,0,Positive,0.9125469484658005,False,This is excellent best great content about education
POST00640,Instagram,Health,53,133,4,5,9,4,Positive,0.8392605556392506,False,This is amazing wonderful excellent content about entertainment
POST00641,Facebook,Technology,63,37,50,15,5,3,Neutral,0.98268790729994,True,This is normal standard okay content about sports
POST00642,TikTok,Business,146,42,55,13,9,3,Positive,0.8197021193358998,False,This is fantastic wonderful love content about health
POST00643,Twitter,Health,230,80,7,0,6,3,Positive,0.7946551977237751,False,This is fantastic amazing excellent content about business
POST00644,Twitter,Politics,163,86,47,14,3,1,Neutral,0.20668286165236138,False,This is average okay average content about health
POST00645,TikTok,Health,253,95,6,1,1,3,Neutral,0.005367447385236757,False,This is typical typical regular content about technology
POST00646,Instagram,Politics,212,161,8,20,5,2,Positive,0.8643733225859694,False,This is amazing best wonderful content about technology
POST00647,Twitter,Politics,65,136,14,3,3,2,Positive,0.44012965553051053,False,This is great amazing great content about technology
POST00648,Twitter,Entertainment,63,122,3,4,3,2,Positive,0.4179204886512733,False,This is amazing love amazing content about education
POST00649,Twitter,Education,63,25,4,14,5,1,Neutral,0.9675146610613047,False,This is standard regular average content about entertainment
POST00650,TikTok,Education,199,8,12,4,3,0,Neutral,0.5127296775856119,False,This is okay fine typical content about politics
POST00651,LinkedIn,Health,243,192,29,6,6,0,Negative,0.1462376795248106,True,This is awful horrible disappointing content about business
POST00652,Facebook,Sports,139,41,13,20,4,0,Neutral,0.7023352300526677,False,This is normal typical fine content about technology
POST00653,Twitter,Politics,267,53,5,11,7,1,Neutral,0.45256460898255735,False,This is fine regular standard content about politics
POST00654,Instagram,Entertainment,135,38,20,1,5,2,Neutral,0.1983668007481243,False,This is average normal normal content about business
POST00655,Facebook,Technology,55,160,20,4,6,2,Neutral,0.7666398636494158,False,This is normal average fine content about education
POST00656,TikTok,Health,228,49,6,15,6,2,Positive,0.9880543182087257,False,This is fantastic wonderful excellent content about sports
POST00657,LinkedIn,Sports,139,5,2,57,4,0,Positive,0.48449477469309976,True,This is best fantastic great content about education
POST00658,LinkedIn,Sports,41,178,52,6,9,2,Neutral,0.40030086072533544,False,This is normal average average content about health
POST00659,Instagram,Health,31,45,18,2,8,0,Neutral,0.6731454261239777,False,This is normal normal normal content about health
POST00660,Facebook,Sports,245,73,1,5,3,3,Positive,0.3265516418837817,False,This is fantastic great best content about health
POST00661,Instagram,Health,204,122,19,7,4,1,Neutral,0.5684359522235742,False,This is standard fine normal content about technology
POST00662,LinkedIn,Health,67,183,3,7,4,1,Positive,0.0123771915167048,False,This is love best great content about health
POST00663,Twitter,Business,246,97,32,17,1,3,Positive,0.6313625836231591,False,This is excellent fantastic love content about business
POST00664,Facebook,Politics,150,79,0,23,2,2,Positive,0.2623225775071748,False,This is best great love content about health
POST00665,TikTok,Entertainment,105,69,8,0,0,1,Negative,0.7398292410008482,False,This is terrible disappointing horrible content about technology
POST00666,Twitter,Business,152,134,34,5,3,4,Neutral,0.2824551796944559,False,This is average okay typical content about health
POST00667,TikTok,Sports,182,10,18,0,3,2,Positive,0.8269618423835395,False,This is excellent great best content about technology
POST00668,Facebook,Sports,210,225,7,20,6,2,Positive,0.6796478250393735,False,This is best excellent excellent content about entertainment
POST00669,Twitter,Health,195,355,9,16,8,1,Positive,0.15995526751342237,False,This is wonderful wonderful love content about education
POST00670,LinkedIn,Technology,59,167,12,16,5,4,Neutral,0.5429485613901734,False,This is average fine normal content about sports
POST00671,Facebook,Sports,150,54,35,2,8,3,Positive,0.3837772515475316,False,This is great great best content about sports
POST00672,TikTok,Technology,63,55,37,24,0,3,Neutral,0.24999417147689196,False,This is fine average okay content about sports
POST00673,Facebook,Education,136,130,3,14,3,3,Positive,0.4587307791408505,False,This is fantastic best fantastic content about technology
POST00674,TikTok,Education,65,28,46,27,5,0,Positive,0.8692725302141696,False,This is love great fantastic content about technology
POST00675,Instagram,Entertainment,74,373,4,8,5,1,Neutral,0.9877440477409827,False,This is standard fine regular content about business
POST00676,Facebook,Business,135,36,3,9,9,0,Negative,0.8232609788110918,False,This is terrible awful horrible content about sports
POST00677,Twitter,Entertainment,201,6,28,0,3,0,Neutral,0.48995823664158333,False,This is normal standard regular content about politics
POST00678,LinkedIn,Business,152,63,31,1,9,2,Negative,0.44519174993292754,False,This is awful hate terrible content about technology
POST00679,LinkedIn,Business,148,38,8,4,5,0,Positive,0.39057427695247116,False,This is fantastic great amazing content about technology
POST00680,Instagram,Technology,32,118,36,18,9,1,Neutral,0.6620887289673161,False,This is average normal fine content about entertainment
POST00681,LinkedIn,Entertainment,61,50,78,12,4,4,Negative,0.11161933786344025,False,This is horrible horrible terrible content about entertainment
POST00682,Twitter,Technology,153,57,13,15,0,0,Neutral,0.09943744886967276,False,This is standard fine regular content about education
POST00683,TikTok,Health,71,297,13,15,7,2,Neutral,0.3232974242977019,True,This is typical average normal content about entertainment
POST00684,Twitter,Sports,103,150,10,15,4,0,Neutral,0.160033983868055,False,This is standard fine normal content about technology
POST00685,TikTok,Politics,23,13,40,0,0,2,Positive,0.656292708997784,False,This is amazing great amazing content about business
POST00686,Twitter,Sports,243,130,3,24,6,2,Positive,0.3250896581201488,False,This is fantastic best great content about health
POST00687,TikTok,Sports,173,29,11,8,5,3,Positive,0.6058844548276473,False,This is wonderful great love content about technology
POST00688,LinkedIn,Technology,41,282,3,3,7,0,Negative,0.371985389111088,False,This is bad hate awful content about entertainment
POST00689,LinkedIn,Technology,110,117,8,7,9,4,Negative,0.8501884995938748,False,This is terrible disappointing bad content about education
POST00690,Facebook,Business,106,95,4,11,4,3,Positive,0.9986113728476106,False,This is excellent excellent love content about technology
POST00691,Instagram,Sports,30,7,2,1,7,4,Positive,0.9326139105397916,False,This is wonderful love wonderful content about entertainment
POST00692,LinkedIn,Business,198,109,0,3,1,3,Positive,0.6406755924673146,False,This is great amazing wonderful content about health
POST00693,TikTok,Sports,40,12,36,1,0,1,Positive,0.8027062859219205,False,This is great excellent amazing content about entertainment
POST00694,Facebook,Sports,123,52,18,15,2,2,Positive,0.23775550065210382,False,This is wonderful excellent fantastic content about technology
POST00695,Instagram,Politics,185,18,56,2,6,0,Neutral,0.1211137609294165,False,This is average average okay content about business
POST00696,TikTok,Technology,230,47,6,27,6,0,Neutral,0.7535779535826738,False,This is typical typical normal content about education
POST00697,Twitter,Business,58,44,9,23,4,3,Positive,0.9791987678663173,False,This is love amazing amazing content about education
POST00698,Facebook,Health,268,225,5,7,9,1,Positive,0.6759687539290912,False,This is amazing excellent fantastic content about health
POST00699,LinkedIn,Entertainment,119,99,23,1,4,4,Neutral,0.2513667212895584,True,This is average average average content about business
POST00700,LinkedIn,Education,170,110,20,4,5,3,Positive,0.8115933310940457,False,This is wonderful excellent love content about technology
